0,1,2,3,4,5
Toyota IST FL Grade 2003,"224,700 km","Galle, Cars","Rs 5,250,000",14 hours,https://ikman.lk/en/ad/toyota-ist-fl-grade-2003-for-sale-galle-5
Toyota Premio G SUPERIOR 2014,"121,000 km","Colombo, Cars","Rs 13,775,000",14 hours,https://ikman.lk/en/ad/toyota-premio-g-superior-2014-for-sale-colombo-937
Toyota Starlet EP 82 EFI Inging 1992,"185,000 km","Matara, Cars","Rs 2,490,000",15 hours,https://ikman.lk/en/ad/toyota-starlet-ep-82-efi-inging-1992-for-sale-matara-1
Toyota Passo 2006,"124,000 km","Matara, Cars","Rs 4,490,000",15 hours,https://ikman.lk/en/ad/toyota-passo-2006-for-sale-matara-7
Toyota Land Cruiser Prado TX 150 2015,"118,200 km","Gampaha, Cars","Rs 47,500,000",15 hours,https://ikman.lk/en/ad/toyota-land-cruiser-prado-tx-150-2015-for-sale-gampaha
Toyota Hilux 2006,"246,000 km","Colombo, Cars","Rs 12,000,000",20 hours,https://ikman.lk/en/ad/toyota-hilux-2006-for-sale-colombo-180
Toyota Voxy V HIGHEST GRADE 2014,"94,000 km","Kalutara, Cars","Rs 17,875,000",21 hours,https://ikman.lk/en/ad/toyota-voxy-v-highest-grade-2014-for-sale-kalutara
Toyota Harrier ADVANCE PREMIUM PLUS 2015,"50,000 km","Colombo, Cars","Rs 28,990,000",1 day,https://ikman.lk/en/ad/toyota-harrier-advance-premium-plus-2015-for-sale-colombo-1
Toyota Raize APPLECARPLAY 20000KM 2020,"20,000 km","Colombo, Cars","Rs 15,690,000",1 day,https://ikman.lk/en/ad/toyota-raize-applecarplay-20000km-2020-for-sale-colombo-5
Toyota Prius ZVW30 2015,"224,500 km","Kalutara, Cars","Rs 10,890,000",1 day,https://ikman.lk/en/ad/toyota-prius-zvw30-2015-for-sale-kalutara
Toyota Land Cruiser Prado LC5 DIESEL 2013,"110,000 km","Colombo, Cars","Rs 41,990,000",1 day,https://ikman.lk/en/ad/toyota-land-cruiser-prado-lc5-diesel-2013-for-sale-colombo-9
Toyota Aqua 2014,"157,602 km","Kurunegala, Cars","Rs 7,775,000",1 day,https://ikman.lk/en/ad/toyota-aqua-2014-for-sale-kurunegala-341
Toyota Vellfire Z Executive 2010,"110,000 km","Colombo, Cars","Rs 32,000,000",1 day,https://ikman.lk/en/ad/toyota-vellfire-z-executive-2010-for-sale-colombo
Toyota Axio G Grade 2013,"115,000 km","Matara, Cars","Rs 9,250,000",1 day,https://ikman.lk/en/ad/toyota-axio-g-grade-2013-for-sale-matara
Toyota Axio G - Grade 2015,"123,152 km","Kurunegala, Cars","Rs 11,500,000",1 day,https://ikman.lk/en/ad/toyota-axio-g-grade-2015-for-sale-kurunegala-78
